account_id,plan_tier,industry,seats,churn_flag,mrr_amount,nb_subscriptions,duree_abonnement_jours,auto_renew_rate,nb_tickets,satisfaction_score_moyen,nb_tickets_urgents,nb_escalations,usage_count_moyen,nb_features_distinctes,error_count_moyen,a_churne
A-2e4581,Basic,EdTech,1970-01-01 00:00:00.000000009,False,1260.3,10,,0.8,2.0,,0.0,0.0,9.727272727272727,1,0.6909090909090909,1
A-43a9e3,Basic,FinTech,1970-01-01 00:00:00.000000018,True,1250.5,8,,0.75,3.0,,0.0,0.0,10.142857142857142,1,0.4,0
A-0a282f,Basic,DevTools,1970-01-01 00:00:00.000000001,False,1219.0666666666666,15,35.666666666666664,1.0,3.0,,0.0,0.0,9.891566265060241,1,0.5783132530120482,1
A-1f0ac7,Basic,HealthTech,1970-01-01 00:00:00.000000024,False,1325.0,7,,0.7142857142857143,2.0,,0.0,0.0,9.317073170731707,1,0.5121951219512195,1
A-ce550d,Enterprise,HealthTech,1970-01-01 00:00:00.000000035,True,5417.888888888889,9,4.5,0.6666666666666666,7.0,,0.0,0.0,9.982758620689655,1,0.5344827586206896,1
A-1b9609,Enterprise,EdTech,1970-01-01 00:00:00.000000004,False,1528.1818181818182,11,8.0,0.8181818181818182,4.0,,0.0,0.0,9.72340425531915,1,0.44680851063829785,1
A-a0ca4e,Pro,Cybersecurity,1970-01-01 00:00:00.000000011,False,1848.111111111111,9,,0.8888888888888888,6.0,,0.0,0.0,9.564102564102564,1,0.358974358974359,0
A-e5d6ab,Pro,EdTech,1970-01-01 00:00:00.000000003,False,1304.8,10,214.0,0.9,3.0,,0.0,0.0,9.317073170731707,1,0.5609756097560976,1
A-7dacce,Enterprise,Cybersecurity,1970-01-01 00:00:00.000000012,True,2305.7,10,,0.7,4.0,,0.0,0.0,9.833333333333334,1,0.6041666666666666,1
A-10b8da,Enterprise,DevTools,1970-01-01 00:00:00.000000014,True,1464.5,6,254.0,0.6666666666666666,3.0,,0.0,0.0,9.518518518518519,1,0.5185185185185185,0
A-592832,Basic,Cybersecurity,1970-01-01 00:00:00.000000018,True,1714.2631578947369,19,31.666666666666668,0.7894736842105263,3.0,,0.0,0.0,10.425742574257425,1,0.5445544554455446,1
A-d40bf7,Basic,FinTech,1970-01-01 00:00:00.000000059,False,4324.7,10,,0.6,2.0,,0.0,0.0,10.218181818181819,1,0.4,0
A-6c093d,Basic,DevTools,1970-01-01 00:00:00.000000007,False,1353.5,12,179.0,0.8333333333333334,3.0,,0.0,0.0,10.46875,1,0.46875,0
A-462d45,Enterprise,Cybersecurity,1970-01-01 00:00:00.000000011,False,1952.6666666666667,12,75.5,0.8333333333333334,4.0,,0.0,0.0,9.304347826086957,1,0.37681159420289856,1
A-956988,Enterprise,EdTech,1970-01-01 00:00:00.000000001,False,2262.076923076923,13,9.0,0.7692307692307693,2.0,,0.0,0.0,9.4,1,0.7,1
A-ac14bb,Enterprise,FinTech,1970-01-01 00:00:00.000000021,False,3468.25,8,165.5,0.875,2.0,,0.0,0.0,9.833333333333334,1,0.7777777777777778,1
A-463db0,Basic,HealthTech,1970-01-01 00:00:00.000000015,False,1895.142857142857,7,,0.7142857142857143,6.0,,0.0,0.0,9.91891891891892,1,0.35135135135135137,1
A-ce66f8,Pro,EdTech,1970-01-01 00:00:00.000000029,False,1976.3333333333333,6,,1.0,6.0,,0.0,0.0,10.73913043478261,1,0.41304347826086957,0
A-c4ea60,Enterprise,FinTech,1970-01-01 00:00:00.000000018,True,1627.3333333333333,9,,0.7777777777777778,5.0,,0.0,0.0,9.930232558139535,1,0.4186046511627907,0
A-832ec2,Enterprise,FinTech,1970-01-01 00:00:00.000000004,False,1162.375,8,,0.375,3.0,,0.0,0.0,10.428571428571429,1,0.5102040816326531,1
A-684255,Enterprise,FinTech,1970-01-01 00:00:00.000000009,False,846.0,14,32.333333333333336,0.6428571428571429,4.0,,0.0,0.0,9.893939393939394,1,0.6666666666666666,1
A-c42f1f,Pro,HealthTech,1970-01-01 00:00:00.000000008,False,646.875,8,59.0,0.75,9.0,,0.0,0.0,9.628571428571428,1,0.5714285714285714,0
A-4e44e8,Enterprise,DevTools,1970-01-01 00:00:00.000000003,True,2603.214285714286,14,20.5,0.7857142857142857,3.0,,0.0,0.0,9.956521739130435,1,0.5362318840579711,1
A-30b4ca,Basic,EdTech,1970-01-01 00:00:00.000000086,True,9492.25,8,,0.875,3.0,,0.0,0.0,9.571428571428571,1,0.5238095238095238,1
A-9f2731,Enterprise,FinTech,1970-01-01 00:00:00.000000001,False,516.1428571428571,7,,1.0,0.0,,0.0,0.0,10.125,1,0.625,1
A-32fb14,Enterprise,DevTools,1970-01-01 00:00:00.000000026,True,1129.111111111111,9,128.5,0.7777777777777778,5.0,,0.0,0.0,10.382978723404255,1,0.40425531914893614,1
A-00cac8,Enterprise,HealthTech,1970-01-01 00:00:00.000000008,False,1569.0,9,,0.8888888888888888,2.0,,0.0,0.0,10.379310344827585,1,0.5344827586206896,0
A-35083d,Basic,HealthTech,1970-01-01 00:00:00.000000019,True,2027.0625,16,53.0,0.875,4.0,,0.0,0.0,10.98611111111111,1,0.5138888888888888,0
A-eb7fac,Enterprise,DevTools,1970-01-01 00:00:00.000000007,False,4209.6,10,92.0,0.9,4.0,,0.0,0.0,10.150943396226415,1,0.8301886792452831,1
A-b20d99,Basic,HealthTech,1970-01-01 00:00:00.000000020,False,1581.2857142857142,7,,0.8571428571428571,2.0,,0.0,0.0,9.969696969696969,1,0.36363636363636365,1
A-396e5f,Enterprise,Cybersecurity,1970-01-01 00:00:00.000000002,False,1023.6,10,,0.8,5.0,,0.0,0.0,9.818181818181818,1,0.41818181818181815,1
A-45ce7a,Enterprise,FinTech,1970-01-01 00:00:00.000000016,False,1173.7142857142858,7,276.0,0.7142857142857143,5.0,,0.0,0.0,10.871794871794872,1,0.7692307692307693,0
A-08e34e,Basic,EdTech,1970-01-01 00:00:00.000000014,True,1983.7272727272727,11,,0.6363636363636364,3.0,,0.0,0.0,10.333333333333334,1,0.5079365079365079,1
A-8145a0,Basic,Cybersecurity,1970-01-01 00:00:00.000000002,False,1438.3333333333333,12,129.0,0.9166666666666666,6.0,,0.0,0.0,10.828125,1,0.421875,1
A-bad8c1,Basic,FinTech,1970-01-01 00:00:00.000000007,False,1113.857142857143,7,,1.0,1.0,,0.0,0.0,10.405405405405405,1,0.2972972972972973,1
A-44dc83,Basic,EdTech,1970-01-01 00:00:00.000000005,False,114.0,4,,1.0,7.0,,0.0,0.0,10.333333333333334,1,0.5416666666666666,1
A-f446b6,Pro,DevTools,1970-01-01 00:00:00.000000005,False,1265.7777777777778,9,80.0,0.7777777777777778,8.0,,0.0,0.0,9.64102564102564,1,0.7948717948717948,0
A-a45270,Enterprise,HealthTech,1970-01-01 00:00:00.000000003,False,1677.5833333333333,12,8.0,0.75,4.0,,0.0,0.0,10.32394366197183,1,0.7464788732394366,1
A-854864,Enterprise,FinTech,1970-01-01 00:00:00.000000020,False,2459.8333333333335,6,3.0,0.8333333333333334,5.0,,0.0,0.0,10.333333333333334,1,0.4166666666666667,1
A-1b7577,Pro,Cybersecurity,1970-01-01 00:00:00.000000004,False,797.3636363636364,11,5.0,1.0,5.0,,0.0,0.0,10.435483870967742,1,0.532258064516129,0
A-05f0e5,Basic,FinTech,1970-01-01 00:00:00.000000032,False,4259.083333333333,12,,0.8333333333333334,4.0,,0.0,0.0,10.537313432835822,1,0.6865671641791045,1
A-9077b0,Basic,HealthTech,1970-01-01 00:00:00.000000002,False,509.2857142857143,7,19.0,1.0,3.0,,0.0,0.0,10.717391304347826,1,0.6739130434782609,0
A-7f8241,Pro,EdTech,1970-01-01 00:00:00.000000034,True,2634.4,15,,0.6666666666666666,1.0,,0.0,0.0,9.532467532467532,1,0.4935064935064935,0
A-2bc93d,Basic,HealthTech,1970-01-01 00:00:00.000000014,False,2491.846153846154,13,16.0,0.8461538461538461,2.0,,0.0,0.0,9.940298507462687,1,0.4626865671641791,1
A-f3ff05,Enterprise,FinTech,1970-01-01 00:00:00.000000002,False,1497.3076923076924,13,30.0,0.9230769230769231,3.0,,0.0,0.0,10.181818181818182,1,0.5454545454545454,1
A-2d4502,Basic,FinTech,1970-01-01 00:00:00.000000007,False,2907.1,10,,0.7,3.0,,0.0,0.0,9.893617021276595,1,0.40425531914893614,1
A-6a4e2d,Pro,EdTech,1970-01-01 00:00:00.000000009,False,944.9090909090909,11,241.66666666666666,0.8181818181818182,2.0,,0.0,0.0,10.11864406779661,1,0.5254237288135594,1
A-eb7c38,Enterprise,DevTools,1970-01-01 00:00:00.000000005,False,2547.3333333333335,15,91.75,0.6666666666666666,5.0,,0.0,0.0,9.9,1,0.38571428571428573,1
A-c37601,Basic,EdTech,1970-01-01 00:00:00.000000006,False,1706.25,12,23.5,0.8333333333333334,4.0,,0.0,0.0,10.1875,1,0.4375,1
A-3b5cd1,Basic,FinTech,1970-01-01 00:00:00.000000013,False,1821.2307692307693,13,,0.6923076923076923,5.0,,0.0,0.0,10.057692307692308,1,0.46153846153846156,1
A-b2225d,Basic,FinTech,1970-01-01 00:00:00.000000047,True,1590.6666666666667,12,,0.75,2.0,,0.0,0.0,9.534246575342467,1,0.821917808219178,1
A-94f8c9,Basic,HealthTech,1970-01-01 00:00:00.000000013,False,1999.3125,16,42.0,0.875,3.0,,0.0,0.0,9.688311688311689,1,0.8181818181818182,1
A-02fac6,Pro,FinTech,1970-01-01 00:00:00.000000022,False,2400.909090909091,11,,0.8181818181818182,6.0,,0.0,0.0,9.69811320754717,1,0.6415094339622641,1
A-c1dfe1,Pro,DevTools,1970-01-01 00:00:00.000000026,False,3223.75,8,143.0,0.625,3.0,,0.0,0.0,9.615384615384615,1,0.7692307692307693,1
A-32728c,Pro,DevTools,1970-01-01 00:00:00.000000020,True,562.25,8,281.0,1.0,2.0,,0.0,0.0,10.195121951219512,1,0.5365853658536586,1
A-4c38bc,Basic,HealthTech,1970-01-01 00:00:00.000000036,True,3003.75,16,94.0,0.875,3.0,,0.0,0.0,10.098765432098766,1,0.3333333333333333,0
A-1b707d,Enterprise,Cybersecurity,1970-01-01 00:00:00.000000001,False,1166.5,8,72.0,0.625,3.0,,0.0,0.0,10.5,1,0.3157894736842105,1
A-6f8ad2,Basic,EdTech,1970-01-01 00:00:00.000000001,False,1525.1764705882354,17,17.5,0.5882352941176471,4.0,,0.0,0.0,10.5,1,0.6704545454545454,0
A-4d1e75,Basic,DevTools,1970-01-01 00:00:00.000000020,False,2414.6153846153848,13,,0.6923076923076923,2.0,,0.0,0.0,9.352941176470589,1,0.49019607843137253,1
A-9ee962,Basic,HealthTech,1970-01-01 00:00:00.000000009,True,1046.6666666666667,9,90.5,0.7777777777777778,3.0,,0.0,0.0,11.256410256410257,1,0.4358974358974359,1
A-378b99,Pro,EdTech,1970-01-01 00:00:00.000000008,False,1009.6666666666666,12,28.0,1.0,6.0,,0.0,0.0,9.741379310344827,1,0.6551724137931034,1
