account_id,churn_score,risk_level
A-019782,0.8376076434692229,high
A-b11cd0,0.814091964969875,high
A-cab532,0.8071552590660012,high
A-f17767,0.802656017616711,high
A-df10db,0.7957305998337395,high
A-4a4c2d,0.7909013688294957,high
A-32fb14,0.787853372074311,high
A-cb6cc6,0.7874441953676518,high
A-cd458b,0.7848631152384168,high
A-32728c,0.7828579464819735,high
A-92a333,0.779029617361585,high
A-ac9111,0.7745375964656231,high
A-f446b6,0.7701200672001589,high
A-e6afc1,0.7692528944353394,high
A-1ac5e0,0.7659725199034856,high
A-b30291,0.7612092759824115,high
A-7c4956,0.7568974262128986,high
A-180abf,0.7510079971023521,high
A-f03140,0.7472127587754983,high
A-659280,0.7444971241300716,high
A-5a184f,0.7427130615947222,high
A-6e7827,0.7400123583615033,high
A-10b8f2,0.7392219919805586,high
A-600734,0.7391589866158397,high
A-6c093d,0.7304657525177336,high
A-d922bf,0.7278563529918286,high
A-f19409,0.7263852323227087,high
A-f9cc74,0.7253502223226032,high
A-72799b,0.7233879320988501,high
A-c608c8,0.7222454873180424,high
A-7a0d69,0.7196423630817441,high
A-22d9d2,0.716274426961648,high
A-b07b56,0.7156005574806484,high
A-bcf664,0.7119869953088959,high
A-e2cd1b,0.7116566907035667,high
A-cbd1a3,0.7095672631729687,high
A-3f9cc0,0.7094248735378884,high
A-271f46,0.7071453509855097,high
A-794a0b,0.7028426606135808,high
A-8adedc,0.7015914514839314,high
A-d535f6,0.6940876133985411,medium
A-ced9aa,0.6934943688962889,medium
A-427b69,0.6892055485080646,medium
A-2edab2,0.6873217381107515,medium
A-b7b7b7,0.6869205995877674,medium
A-de58ca,0.6868012503423611,medium
A-0f3e88,0.6854971980668015,medium
A-2f6a32,0.6845431843798088,medium
A-f97b9a,0.6834208334010627,medium
A-8b0451,0.6830019952402754,medium
A-296d7c,0.6814083900226695,medium
A-3c1a3f,0.6810994115762372,medium
A-54d94a,0.6795896537144839,medium
A-4e960a,0.6768392479624423,medium
A-59f724,0.6767970058864025,medium
A-3b5cd1,0.674888570814371,medium
A-c4ea60,0.6727960907333235,medium
A-45ce7a,0.6703782957475216,medium
A-038089,0.669209231683721,medium
A-08e34e,0.6678626731553129,medium
A-d792a6,0.6637721582720071,medium
A-7f4db3,0.6610184086500084,medium
A-de24d5,0.6573271016655937,medium
A-7df7a7,0.6522624815762046,medium
A-756192,0.6511417907270342,medium
A-ccc747,0.6507277649762478,medium
A-9badbd,0.647684129794899,medium
A-993085,0.6476378018187194,medium
A-cea1f0,0.6475819285935901,medium
A-712426,0.6454115412535637,medium
A-5790f4,0.643205777653144,medium
A-19b2c8,0.6431389472538787,medium
A-db5e9e,0.6427264348383986,medium
A-c16cf7,0.6394469012295094,medium
A-e83938,0.6393061220399575,medium
A-331424,0.6391941025314037,medium
A-65a46c,0.6389978466616216,medium
A-439b2f,0.6386046271522828,medium
A-098560,0.6385564559386705,medium
A-dcc3f1,0.6379266954768676,medium
A-812c5b,0.6358731575894676,medium
A-7cfe77,0.6350866057844953,medium
A-95b24a,0.6342316561927607,medium
A-309e54,0.634166054093706,medium
A-02fac6,0.6339679900990295,medium
A-cb5333,0.6312915335154579,medium
A-832ec2,0.6304135471845642,medium
A-88c6ca,0.6299662780606782,medium
A-0dbdc6,0.627334199669423,medium
A-0158bb,0.626293681837231,medium
A-a2485e,0.6242475996754747,medium
A-410e86,0.6232074413426706,medium
A-151c9a,0.6227410160989792,medium
A-4bfa33,0.6223439200438633,medium
A-50f3f7,0.6219563306062484,medium
A-249769,0.6200211412249927,medium
A-068fc6,0.617316867069166,medium
A-425e76,0.6156072338108236,medium
A-4c38bc,0.6155140355340005,medium
A-0a282f,0.6152491110685737,medium
A-bd4708,0.6141269951756786,medium
A-671f31,0.6127962951567318,medium
A-6965e1,0.6104091050275076,medium
A-310452,0.6099288176662988,medium
A-b78bf8,0.6095731543900691,medium
A-2bc93d,0.6078917201438543,medium
A-139c3b,0.6058041790547403,medium
A-544d0a,0.6046475835043664,medium
A-5a3eb9,0.6043427569876778,medium
A-e7a1e2,0.604095920190925,medium
A-c1dfe1,0.6027751941657932,medium
A-84ebe4,0.6016379603007426,medium
A-7da956,0.6010113110668402,medium
A-96215d,0.5994901949252881,medium
A-e1b9cd,0.5987465514491648,medium
A-1e50e0,0.5987078136683442,medium
A-bc87bc,0.5986150456148798,medium
A-5b4ebb,0.5949272773851426,medium
A-798a3f,0.5946465270676315,medium
A-0b0d6d,0.5945338175051584,medium
A-4e631b,0.5926475695633665,medium
A-d3c88e,0.5872517951110235,medium
A-1619f8,0.5870566531132531,medium
A-43a9e3,0.5866187426584926,medium
A-5f7781,0.5844594338721703,medium
A-186a44,0.5844093359822371,medium
A-f6b2fb,0.5824513652135996,medium
A-4f18f0,0.5822205101326958,medium
A-7f6b86,0.5819141689255443,medium
A-d49cc5,0.5819044844791049,medium
A-cc98bc,0.5815051182488701,medium
A-9f2731,0.5794643997102403,medium
A-65c341,0.5784738627215401,medium
A-42e5e1,0.5781913914053481,medium
A-5a92e7,0.5781485237566363,medium
A-bb2f49,0.5767758161594033,medium
A-1f0ac7,0.57608678338816,medium
A-ccb686,0.5756762049532346,medium
A-970c97,0.5741616399954476,medium
A-1f7acb,0.5734912622767346,medium
A-e61e98,0.5732581766486162,medium
A-fa2041,0.5729817067711369,medium
A-3be56b,0.5719854207040819,medium
A-fe79a5,0.570908488315363,medium
A-716841,0.5697162561377743,medium
A-9f9299,0.5694380601528208,medium
A-4ae22a,0.5683435516457978,medium
